"","protein family","annotation","well-predicted, within family","well-predicted, outside family","poorly-predicted, within family","poorly-predicted, outside family","p_value","odds_ratio","p_value.adj","note"
"65","IPR043612","Non-structural protein NSP4, N-terminal, coronavirus (domain)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"66","IPR043611","Coronavirus replicase NSP3, C-terminal (domain)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"67","IPR043610","Non-structural protein 6, coronavirus (domain)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"68","IPR043503","Papain-like viral protease, palm and finger domains, coronavirus (homologous_superfamily)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"69","IPR043477","Peptidase C30, domain 3, coronavirus (homologous_superfamily)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"70","IPR043178","Papain-like protease, thumb domain superfamily, coronavirus (homologous_superfamily)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"71","IPR036890","Histidine kinase/HSP90-like ATPase superfamily (homologous_superfamily)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"72","IPR018995","RNA synthesis protein NSP10, coronavirus (domain)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"73","IPR036322","WD40-repeat-containing domain superfamily (homologous_superfamily)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"74","IPR001723","Nuclear hormone receptor (family)","10","1206","0","120","1","Inf",1,"not significant"
"75","IPR036249","Thioredoxin-like superfamily (homologous_superfamily)","10","1206","0","120","1","Inf",1,"not significant"
"76","IPR050122","Receptor Tyrosine Kinase (family)","10","1206","0","120","1","Inf",1,"not significant"
"77","IPR038123","Non-structural protein NSP4, C-terminal superfamily, coronavirus (homologous_superfamily)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"78","IPR001452","SH3 domain (domain)","10","1206","0","120","1","Inf",1,"not significant"
"79","IPR032505","Non-structural protein NSP4, C-terminal, coronavirus (domain)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"80","IPR037230","Non-structural protein NSP8 superfamily, coronavirus (homologous_superfamily)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"81","IPR037204","Non-structural protein NSP7 superfamily, coronavirus (homologous_superfamily)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"82","IPR001408","G-protein alpha subunit, group I (family)","10","1206","0","120","1","Inf",1,"not significant"
"83","IPR047566","Coronavirus replicase NSP3, Y domain (domain)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"84","IPR036499","Non-structural protein NSP9 superfamily, coronavirus (homologous_superfamily)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"85","IPR003591","Leucine-rich repeat, typical subtype (repeat)","5","1211","5","115","0.000940071932696259","0.0949628406275805",0.0560563174516668,"not significant"
"86","IPR003594","Histidine kinase/HSP90-like ATPase domain (domain)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"87","IPR013016","Peptidase C16, coronavirus (domain)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"88","IPR008740","Peptidase C30, coronavirus (domain)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
