xref_interpro,count,interpro_name
IPR013088,11,"Zinc finger, NHR/GATA-type (homologous_superfamily)"
IPR038765,11,Papain-like cysteine peptidase superfamily (homologous_superfamily)
IPR013785,11,Aldolase-type TIM barrel (homologous_superfamily)
IPR036028,10,SH3-like domain superfamily (homologous_superfamily)
IPR036333,10,"RNA synthesis protein NSP10 superfamily, coronavirus (homologous_superfamily)"
IPR000626,10,Ubiquitin-like domain (domain)
IPR036465,10,von Willebrand factor A-like domain superfamily (homologous_superfamily)
IPR014822,10,"Non-structural protein NSP9, coronavirus (domain)"
IPR014828,10,"Non-structural protein NSP7, coronavirus (domain)"
IPR014829,10,"Non-structural protein NSP8, coronavirus (domain)"
IPR049894,10,"Coronavirus NSP3, 3Ecto domain (domain)"
IPR043612,10,"Non-structural protein NSP4, N-terminal, coronavirus (domain)"
IPR043611,10,"Coronavirus replicase NSP3, C-terminal (domain)"
IPR043610,10,"Non-structural protein 6, coronavirus (domain)"
IPR043503,10,"Papain-like viral protease, palm and finger domains, coronavirus (homologous_superfamily)"
IPR043477,10,"Peptidase C30, domain 3, coronavirus (homologous_superfamily)"
IPR043178,10,"Papain-like protease, thumb domain superfamily, coronavirus (homologous_superfamily)"
IPR036890,10,Histidine kinase/HSP90-like ATPase superfamily (homologous_superfamily)
IPR018995,10,"RNA synthesis protein NSP10, coronavirus (domain)"
IPR036322,10,WD40-repeat-containing domain superfamily (homologous_superfamily)
IPR001723,10,Nuclear hormone receptor (family)
IPR036249,10,Thioredoxin-like superfamily (homologous_superfamily)
IPR050122,10,Receptor Tyrosine Kinase (family)
IPR038123,10,"Non-structural protein NSP4, C-terminal superfamily, coronavirus (homologous_superfamily)"
IPR001452,10,SH3 domain (domain)
IPR032505,10,"Non-structural protein NSP4, C-terminal, coronavirus (domain)"
IPR037230,10,"Non-structural protein NSP8 superfamily, coronavirus (homologous_superfamily)"
IPR037204,10,"Non-structural protein NSP7 superfamily, coronavirus (homologous_superfamily)"
IPR001408,10,"G-protein alpha subunit, group I (family)"
IPR047566,10,"Coronavirus replicase NSP3, Y domain (domain)"
IPR036499,10,"Non-structural protein NSP9 superfamily, coronavirus (homologous_superfamily)"
IPR003591,10,"Leucine-rich repeat, typical subtype (repeat)"
IPR003594,10,Histidine kinase/HSP90-like ATPase domain (domain)
IPR013016,10,"Peptidase C16, coronavirus (domain)"
IPR008740,10,"Peptidase C30, coronavirus (domain)"
IPR022733,9,"DPUP/SUD, C-terminal, betacoronavirus (domain)"
IPR038400,9,"Non-structural protein NSP3, SUD-M domain superfamily, betacoronavirus (homologous_superfamily)"
IPR027352,9,"Nonstructural protein 13, zinc-binding domain, coronavirus-like (domain)"
IPR024375,9,"Non-structural protein NSP3, SUD-M domain, betacoronavirus (domain)"
IPR045155,9,"Beta-lactamase class A, catalytic domain (domain)"
IPR024358,9,"Non-structural protein NSP3, N-terminal, betacoronavirus (domain)"
IPR044353,9,"NSP3, second ubiquitin-like (Ubl) domain, coronavirus (domain)"
IPR038166,9,"Polyprotein cleavage domain PL2pro superfamily, betacoronavirus (homologous_superfamily)"
IPR044351,9,"RNA-dependent RNA polymerase, SARS-CoV-like (domain)"
IPR002035,9,"von Willebrand factor, type A (domain)"
IPR041679,9,"DNA2/NAM7 helicase-like, C-terminal (domain)"
IPR009030,9,Growth factor receptor cysteine-rich domain superfamily (homologous_superfamily)
IPR000871,9,"Beta-lactamase, class-A (family)"
IPR042515,9,"Non-structural protein NSP15, N-terminal domain superfamily, coronavirus (homologous_superfamily)"
IPR021590,9,"NSP1, globular domain, betacoronavirus (domain)"
IPR038083,9,Non-structural protein NSP3A domain-like superfamily (homologous_superfamily)
IPR043128,9,Reverse transcriptase/Diguanylate cyclase domain (homologous_superfamily)
IPR038030,9,"NSP1 globular domain superfamily, betacoronavirus (homologous_superfamily)"
IPR037227,9,Endoribonuclease EndoU-like (homologous_superfamily)
IPR046435,9,"NSP14, guanine-N7-methyltransferase domain, coronavirus (domain)"
IPR032592,9,"Non-structural protein NSP3, nucleic acid-binding domain, betacoronavirus (domain)"
IPR046436,9,Nidovirus 3'-5' exoribonuclease domain (domain)
IPR005225,9,Small GTP-binding domain (domain)
IPR046438,9,Nidovirus 2-O-methyltransferase (domain)
IPR046440,9,Arterivirus Nsp11 N-terminal/Coronavirus NSP15 middle domain (domain)
IPR048672,9,"Nonstructural protein 13, zinc-binding domain, coronavirus (domain)"
IPR046441,9,"RNA-dependent RNA polymerase, coronavirus (domain)"
IPR046442,9,"NSP1, C-terminal domain, betacoronavirus (domain)"
IPR046443,9,"NSP1, globular domain, alpha/betacoronavirus (domain)"
IPR048673,9,"Nonstructural protein 13, stalk domain, coronavirus (domain)"
IPR042570,9,"Non-structural protein NSP3, nucleic acid-binding domain superfamily, betacoronavirus (homologous_superfamily)"
IPR043478,9,"Non-structural protein NSP3, SUD-N (Mac2) domain superfamily, betacoronavirus (homologous_superfamily)"
IPR044315,9,"Nonstructural protein 14, betacoronavirus (domain)"
IPR043615,9,"Nonstructural protein 2, N-terminal domain, coronavirus (domain)"
IPR050534,9,Coronaviruses polyprotein 1ab (family)
IPR012674,9,Calycin (homologous_superfamily)
IPR044322,9,"Nonstructural protein 15, middle domain, alpha/betacoronavirus (domain)"
IPR043609,9,"NendoU domain, nidovirus (domain)"
IPR043608,9,"Nonstructural protein 15, middle domain, coronavirus (domain)"
IPR044367,9,"Non-structural protein 6, betacoronavirus (domain)"
IPR044330,9,"Nonstructural protein 15, N-terminal domain, alpha/beta-coronavirus (domain)"
IPR043613,9,"Non-structural protein 2, C-terminal domain, coronavirus (domain)"
IPR043606,9,"Coronavirus replicase NSP15, N-terminal oligomerization (domain)"
IPR050234,9,Nuclear hormone receptor family NR1 subfamily (family)
IPR044357,9,"NSP3, first ubiquitin-like (Ubl) domain, coronavirus (domain)"
IPR043174,9,"Non-structural protein NSP15, middle domain superfamily (homologous_superfamily)"
IPR047570,9,"NSP12, interface domain, coronavirus (domain)"
IPR044863,9,Nidovirus RdRp-associated nucleotidyl transferase (NiRAN) domain (domain)
IPR047573,9,"Non-structural protein 2, middle domain, coronavirus (domain)"
IPR044401,9,"NSP15, NendoU domain, coronavirus (domain)"
IPR044389,9,"Non-structural protein 2, SARS-CoV-like (domain)"
IPR044864,9,"Non-structural protein NSP3, SUD-N (Mac2) domain, betacoronavirus (domain)"
IPR044343,9,"Nonstructural protein 13, 1B domain, coronavirus (domain)"
IPR009466,9,"Non-structural protein 14, coronavirus (domain)"
IPR009461,9,"Non-structural protein NSP16, coronavirus-like (domain)"
IPR043177,9,"Papain-like protease, N-terminal domain superfamily, coronavirus (homologous_superfamily)"
IPR047567,9,"Non-structural protein NSP3, group 2-specific marker domain, betacoronavirus (domain)"
IPR009469,9,"RNA-dependent RNA polymerase, N-terminal, coronavirus (domain)"
IPR005467,8,Histidine kinase domain (domain)
IPR036866,8,Ribonuclease Z/Hydroxyacylglutathione hydrolase-like (homologous_superfamily)
IPR046357,8,Peptidyl-prolyl cis-trans isomerase domain superfamily (homologous_superfamily)
IPR035963,8,"FERM superfamily, second domain (homologous_superfamily)"
IPR011029,8,Death-like domain superfamily (homologous_superfamily)
IPR001279,8,Metallo-beta-lactamase (domain)
IPR001487,8,Bromodomain (domain)
IPR001509,8,NAD-dependent epimerase/dehydratase (domain)
IPR000742,8,EGF-like domain (domain)
IPR001680,8,WD40 repeat (repeat)
IPR019749,8,Band 4.1 domain (domain)
IPR036427,8,Bromodomain-like superfamily (homologous_superfamily)
IPR000299,8,FERM domain (domain)
IPR018247,8,"EF-Hand 1, calcium-binding site (binding_site)"
IPR050261,8,FrsA esterase (family)
IPR004358,7,"Signal transduction histidine kinase-related protein, C-terminal (domain)"
IPR036396,7,Cytochrome P450 superfamily (homologous_superfamily)
IPR004168,7,PPAK motif (repeat)
IPR036236,7,Zinc finger C2H2 superfamily (homologous_superfamily)
IPR017972,7,"Cytochrome P450, conserved site (conserved_site)"
IPR036097,7,"Signal transduction histidine kinase, dimerisation/phosphoacceptor domain superfamily (homologous_superfamily)"
IPR036034,7,PDZ superfamily (homologous_superfamily)
IPR001357,7,BRCT domain (domain)
IPR015129,7,"Titin, Z repeat (repeat)"
IPR003661,7,"Signal transduction histidine kinase, dimerisation/phosphoacceptor domain (domain)"
IPR002397,7,"Cytochrome P450, B-class (family)"
IPR001478,7,PDZ domain (domain)
IPR050198,7,Non-receptor tyrosine kinases involved in cell signaling (family)
IPR008949,7,Isoprenoid synthase domain superfamily (homologous_superfamily)
IPR001806,7,Small GTPase (family)
IPR001179,7,FKBP-type peptidyl-prolyl cis-trans isomerase domain (domain)
IPR019748,7,FERM central domain (domain)
IPR002110,7,Ankyrin repeat (repeat)
IPR019775,7,"WD40 repeat, conserved site (conserved_site)"
IPR023650,7,"Beta-lactamase, class-A active site (active_site)"
IPR040849,7,"MyBP-C, tri-helix bundle domain (domain)"
IPR001128,7,Cytochrome P450 (family)
IPR000566,7,Lipocalin/cytosolic fatty-acid binding domain (domain)
IPR036770,7,Ankyrin repeat-containing domain superfamily (homologous_superfamily)
IPR043129,6,"ATPase, nucleotide binding domain (homologous_superfamily)"
IPR017937,6,"Thioredoxin, conserved site (conserved_site)"
IPR017871,6,"ABC transporter-like, conserved site (conserved_site)"
IPR050855,6,Metallo-beta-lactamase type 2-like (family)
IPR033703,6,Picornavirus/Calicivirus coat protein (domain)
IPR023214,6,HAD superfamily (homologous_superfamily)
IPR011042,6,"Six-bladed beta-propeller, TolB-like (homologous_superfamily)"
IPR032466,6,Metal-dependent hydrolase (homologous_superfamily)
IPR031259,6,Intracellular lipid binding protein (family)
IPR011992,6,EF-hand domain pair (homologous_superfamily)
IPR003439,6,"ABC transporter-like, ATP-binding domain (domain)"
IPR016024,6,Armadillo-type fold (homologous_superfamily)
IPR029053,6,Viral coat protein subunit (homologous_superfamily)
IPR012317,6,"Poly(ADP-ribose) polymerase, catalytic domain (domain)"
IPR012337,6,Ribonuclease H-like superfamily (homologous_superfamily)
IPR013087,6,Zinc finger C2H2-type (domain)
IPR050425,6,NAD(P)-dependent dehydratase-like (family)
IPR013761,6,Sterile alpha motif/pointed domain superfamily (homologous_superfamily)
IPR013766,6,Thioredoxin domain (domain)
IPR000605,6,"Helicase, superfamily 3, single-stranded DNA/RNA virus (domain)"
IPR000463,6,Cytosolic fatty-acid binding (domain)
IPR011011,6,"Zinc finger, FYVE/PHD-type (homologous_superfamily)"
IPR036412,6,HAD-like superfamily (homologous_superfamily)
IPR036397,6,Ribonuclease H superfamily (homologous_superfamily)
IPR018359,6,"Bromodomain, conserved site (conserved_site)"
IPR036420,6,BRCT domain superfamily (homologous_superfamily)
IPR005123,6,Oxoglutarate/iron-dependent dioxygenase domain (domain)
IPR001965,6,"Zinc finger, PHD-type (domain)"
IPR012259,5,Dihydrofolate reductase (family)
IPR003660,5,HAMP domain (domain)
IPR029046,5,Lipoprotein localisation LolA/LolB/LppX (homologous_superfamily)
IPR019787,5,"Zinc finger, PHD-finger (domain)"
IPR000199,5,"Peptidase C3A/C3B, picornaviral (domain)"
IPR000315,5,B-box-type zinc finger (domain)
IPR003006,5,"Immunoglobulin/major histocompatibility complex, conserved site (conserved_site)"
IPR002048,5,EF-hand domain (domain)
IPR003074,5,Peroxisome proliferator-activated receptor (family)
IPR011989,5,Armadillo-like helical (homologous_superfamily)
IPR012334,5,Pectin lyase fold (homologous_superfamily)
IPR029021,5,Protein-tyrosine phosphatase-like (homologous_superfamily)
IPR012340,5,"Nucleic acid-binding, OB-fold (homologous_superfamily)"
IPR012677,5,Nucleotide-binding alpha-beta plait domain superfamily (homologous_superfamily)
IPR001547,5,"Glycoside hydrolase, family 5 (domain)"
IPR000387,5,Tyrosine-specific protein phosphatases domain (domain)
IPR003959,5,"ATPase, AAA-type, core (domain)"
IPR024072,5,Dihydrofolate reductase-like domain superfamily (homologous_superfamily)
IPR000367,5,"G-protein alpha subunit, group S (family)"
IPR044067,5,Picornavirales 3C/3C-like protease domain (domain)
IPR014001,5,"Helicase superfamily 1/2, ATP-binding domain (domain)"
IPR014352,5,FERM/acyl-CoA-binding protein superfamily (homologous_superfamily)
IPR014759,5,"Helicase, superfamily 3, single-stranded RNA virus (domain)"
IPR001650,5,"Helicase, C-terminal domain-like (domain)"
IPR011250,5,"Outer membrane protein/outer membrane enzyme PagP, beta-barrel (homologous_superfamily)"
IPR001638,5,Solute-binding protein family 3/N-terminal domain of MltF (domain)
IPR035979,5,RNA-binding domain superfamily (homologous_superfamily)
IPR003597,5,Immunoglobulin C1-set (domain)
IPR001796,5,Dihydrofolate reductase domain (domain)
IPR035965,5,PAS domain superfamily (homologous_superfamily)
IPR009050,5,Globin-like superfamily (homologous_superfamily)
IPR000504,5,RNA recognition motif domain (domain)
IPR000477,5,Reverse transcriptase domain (domain)
IPR011006,5,CheY-like superfamily (homologous_superfamily)
IPR017925,5,Dihydrofolate reductase conserved site (conserved_site)
IPR000014,5,PAS domain (domain)
IPR006439,5,"HAD hydrolase, subfamily IA (family)"
IPR003595,5,"Protein-tyrosine phosphatase, catalytic (domain)"
IPR016130,5,"Protein-tyrosine phosphatase, active site (active_site)"
IPR000242,5,"Tyrosine-specific protein phosphatase, PTPase domain (domain)"
IPR011050,5,Pectin lyase fold/virulence factor (homologous_superfamily)
IPR001849,5,Pleckstrin homology domain (domain)
IPR017974,4,"Claudin, conserved site (conserved_site)"
IPR018114,4,"Serine proteases, trypsin family, histidine active site (active_site)"
IPR002475,4,Bcl2-like (family)
IPR018338,4,"Carbonic anhydrase, alpha-class, conserved site (conserved_site)"
IPR043473,4,"Spike glycoprotein S2 superfamily, coronavirus (homologous_superfamily)"
IPR000698,4,Arrestin (family)
IPR015500,4,"Peptidase S8, subtilisin-related (family)"
IPR016087,4,Chalcone isomerase (domain)
IPR001969,4,"Aspartic peptidase, active site (active_site)"
IPR017864,4,"Arrestin, conserved site (conserved_site)"
IPR015797,4,NUDIX hydrolase-like domain superfamily (homologous_superfamily)
IPR018548,4,"Spike (S) protein S1 subunit, receptor-binding domain, betacoronavirus (domain)"
IPR043607,4,"Coronavirus spike glycoprotein S1, C-terminal (domain)"
IPR019931,4,LPXTG cell wall anchor domain (domain)
IPR016187,4,C-type lectin fold (homologous_superfamily)
IPR050279,4,Plant defense and hormone signaling protein (family)
IPR000639,4,Epoxide hydrolase-like (family)
IPR042578,4,"Spike glycoprotein, betacoronavirus (family)"
IPR016181,4,Acyl-CoA N-acyltransferase (homologous_superfamily)
IPR016088,4,"Chalcone isomerase, 3-layer sandwich (homologous_superfamily)"
IPR043002,4,"Spike glycoprotein, N-terminal domain superfamily (homologous_superfamily)"
IPR002347,4,Short-chain dehydrogenase/reductase SDR (family)
IPR018313,4,"Solute-binding protein family 3, conserved site (conserved_site)"
IPR012292,4,Globin/Protoglobin (homologous_superfamily)
IPR014753,4,"Arrestin, N-terminal (homologous_superfamily)"
IPR003550,4,Claudin-4 (family)
IPR009057,4,Homedomain-like superfamily (homologous_superfamily)
IPR009056,4,Cytochrome c-like domain (domain)
IPR044874,4,"Spike glycoprotein S2, coronavirus, heptad repeat 2 (domain)"
IPR008979,4,Galactose-binding-like domain superfamily (homologous_superfamily)
IPR008919,4,"Retrovirus capsid, N-terminal (homologous_superfamily)"
IPR008916,4,"Retrovirus capsid, C-terminal (homologous_superfamily)"
IPR003527,4,"Mitogen-activated protein (MAP) kinase, conserved site (conserved_site)"
IPR051044,4,Monoacylglycerol and Diacylglycerol Lipase (family)
IPR045345,4,"Retroviral nucleocapsid Gag protein p24, C-terminal domain (domain)"
IPR014752,4,"Arrestin-like, C-terminal (homologous_superfamily)"
IPR006202,4,Neurotransmitter-gated ion-channel ligand-binding domain (domain)
IPR006201,4,Neurotransmitter-gated ion-channel (family)
IPR006187,4,Claudin (family)
IPR006140,4,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain (domain)"
IPR006139,4,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain (domain)"
IPR005877,4,YSIRK Gram-positive signal peptide (domain)
IPR046371,4,"Bcl-2, Bcl-2 homology region 1-3 (domain)"
IPR004564,4,Outer membrane lipoprotein carrier protein LolA-like (family)
IPR009081,4,Phosphopantetheine binding ACP domain (domain)
IPR000483,4,"Cysteine-rich flanking region, C-terminal (domain)"
IPR044873,4,"Spike glycoprotein S2, coronavirus, heptad repeat 1 (domain)"
IPR010999,4,Retroviral matrix protein (homologous_superfamily)
IPR002552,4,"Spike glycoprotein S2, coronavirus (domain)"
IPR013806,4,Kringle-like fold (homologous_superfamily)
IPR000157,4,Toll/interleukin-1 receptor homology (TIR) domain (domain)
IPR013111,4,"EGF-like domain, extracellular (domain)"
IPR044341,4,"Spike (S) protein S1 subunit, N-terminal domain, SARS-CoV-like (domain)"
IPR050515,4,Bacterial Transpeptidases and Beta-Lactamases (family)
IPR044366,4,"Spike (S) protein S1 subunit, receptor-binding domain, SARS-CoV-2 (domain)"
IPR044846,4,Glycoside hydrolase family 10 (family)
IPR020568,4,Ribosomal protein uS5 domain 2-type superfamily (homologous_superfamily)
IPR000086,4,NUDIX hydrolase domain (domain)
IPR003077,4,Peroxisome proliferator-activated receptor gamma (family)
IPR011162,4,MHC classes I/II-like antigen recognition protein (homologous_superfamily)
IPR011161,4,MHC class I-like antigen recognition-like (domain)
IPR011033,4,PRC-barrel-like superfamily (homologous_superfamily)
IPR044861,4,"Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain (domain)"
IPR011022,4,Arrestin C-terminal-like domain (domain)
IPR011021,4,"Arrestin-like, N-terminal (domain)"
IPR020472,4,G-protein beta WD-40 repeat (repeat)
IPR004102,4,"Poly(ADP-ribose) polymerase, regulatory domain (domain)"
IPR036298,4,Chalcone isomerase superfamily (homologous_superfamily)
IPR036834,4,Bcl-2-like superfamily (homologous_superfamily)
IPR050208,4,Antigen-presenting and immune regulatory MHC class I-related (family)
IPR036812,4,NADP-dependent oxidoreductase domain superfamily (homologous_superfamily)
IPR000209,4,Peptidase S8/S53 domain (domain)
IPR000971,4,Globin (domain)
IPR022398,4,"Peptidase S8, subtilisin, His-active site (active_site)"
IPR033116,4,"Serine proteases, trypsin family, serine active site (active_site)"
IPR001789,4,"Signal transduction response regulator, receiver domain (domain)"
IPR022590,4,"Peroxisome proliferator-activated receptor gamma, N-terminal (domain)"
IPR027275,4,PRC-barrel domain (domain)
IPR026992,4,Non-haem dioxygenase N-terminal domain (domain)
IPR036326,4,"Spike S1 subunit, receptor binding domain superfamily, betacoronavirus (homologous_superfamily)"
IPR001254,4,"Serine proteases, trypsin domain (domain)"
IPR022742,4,"Serine aminopeptidase, S33 (domain)"
IPR026298,4,Bcl-2 family (family)
IPR036398,4,Alpha carbonic anhydrase domain superfamily (homologous_superfamily)
IPR035897,4,Toll/interleukin-1 receptor homology (TIR) domain superfamily (homologous_superfamily)
IPR023210,4,NADP-dependent oxidoreductase domain (domain)
IPR023346,4,Lysozyme-like domain superfamily (homologous_superfamily)
IPR023393,4,START-like domain superfamily (homologous_superfamily)
IPR023561,4,"Carbonic anhydrase, alpha-class (family)"
IPR036852,4,Peptidase S8/S53 domain superfamily (homologous_superfamily)
IPR050117,4,Mitogen-activated protein kinase (family)
IPR037055,4,MHC class I-like antigen recognition-like superfamily (homologous_superfamily)
IPR039049,4,Elongin B (family)
IPR036909,4,Cytochrome c-like domain superfamily (homologous_superfamily)
IPR000961,4,"AGC-kinase, C-terminal (domain)"
IPR023828,4,"Peptidase S8, subtilisin, Ser-active site (active_site)"
IPR001676,4,Picornavirus capsid (domain)
IPR001223,4,"Glycoside hydrolase family 18, catalytic domain (domain)"
IPR032695,4,Integrin domain superfamily (homologous_superfamily)
IPR036875,4,"Zinc finger, CCHC-type superfamily (homologous_superfamily)"
IPR020717,4,"Apoptosis regulator, Bcl-2, BH1 motif, conserved site (conserved_site)"
IPR036616,4,"Poly(ADP-ribose) polymerase, regulatory domain superfamily (homologous_superfamily)"
IPR020728,4,"Apoptosis regulator, Bcl-2, BH3 motif, conserved site (conserved_site)"
IPR036736,4,ACP-like superfamily (homologous_superfamily)
IPR036734,4,Neurotransmitter-gated ion-channel ligand-binding domain superfamily (homologous_superfamily)
IPR001155,4,"NADH:flavin oxidoreductase/NADH oxidase, N-terminal (domain)"
IPR001460,4,"Penicillin-binding protein, transpeptidase (domain)"
IPR027443,4,Isopenicillin N synthase-like superfamily (homologous_superfamily)
IPR050167,4,Serine/threonine-protein kinase (family)
IPR020806,4,"Polyketide synthase-like, phosphopantetheine-binding domain (domain)"
IPR020726,4,"Apoptosis regulator, Bcl-2, BH2 motif, conserved site (conserved_site)"
IPR027370,4,"Zinc finger, RING-type, eukaryotic (domain)"
IPR004031,4,PMP-22/EMP/MP20/Claudin (family)
IPR032500,4,"Spike glycoprotein S1, N-terminal domain, betacoronavirus-like (domain)"
IPR001878,4,"Zinc finger, CCHC-type (domain)"
IPR001000,4,Glycoside hydrolase family 10 domain (domain)
IPR001039,4,"MHC class I alpha chain, alpha1 alpha2 domains (domain)"
IPR021109,4,Aspartic peptidase domain superfamily (homologous_superfamily)
IPR001148,4,Alpha carbonic anhydrase domain (domain)
IPR036880,3,Pancreatic trypsin inhibitor Kunitz domain superfamily (homologous_superfamily)
IPR036895,3,Uracil-DNA glycosylase-like domain superfamily (homologous_superfamily)
IPR050130,3,ATP-dependent Clp protease/Chaperone ClpA/ClpB (family)
IPR035983,3,"HECT, E3 ligase catalytic domain (homologous_superfamily)"
IPR036176,3,E2 domain superfamily (homologous_superfamily)
IPR050131,3,Subtilisin-like serine protease (family)
IPR011990,3,Tetratricopeptide-like helical domain superfamily (homologous_superfamily)
IPR037097,3,"Photosynthetic reaction centre, H subunit, N-terminal domain superfamily (homologous_superfamily)"
IPR037197,3,WWE domain superfamily (homologous_superfamily)
IPR010345,3,Interleukin-17 family (family)
IPR035914,3,"Spermadhesin, CUB domain superfamily (homologous_superfamily)"
IPR038050,3,Neuronal acetylcholine receptor (homologous_superfamily)
IPR029753,3,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site (conserved_site)"
IPR030947,3,Energy-coupling factor transporter ATP-binding protein EcfA1 (family)
IPR011583,3,"Chitinase II/V-like, catalytic domain (domain)"
IPR035892,3,C2 domain superfamily (homologous_superfamily)
IPR037138,3,Histone deacetylase domain superfamily (homologous_superfamily)
IPR031158,3,"Glycosyl hydrolases family 10, active site (active_site)"
IPR011178,3,"Amyloidogenic glycoprotein, copper-binding (domain)"
IPR032710,3,NTF2-like domain superfamily (homologous_superfamily)
IPR050689,3,FKBP-type Peptidyl-prolyl cis-trans Isomerase (family)
IPR048633,3,"Integrin alpha-X-like, third Ig-like domain (domain)"
IPR011032,3,GroES-like superfamily (homologous_superfamily)
IPR011696,3,Huwentoxin-1 family (family)
IPR050231,3,Iron/ascorbate-dependent oxidoreductase (family)
IPR036203,3,"Poliovirus core protein 3a, soluble domain (homologous_superfamily)"
IPR005286,3,Cell division protein FtsE (family)
IPR036438,3,Insulin-like superfamily (homologous_superfamily)
IPR046349,3,C1-like domain superfamily (homologous_superfamily)
IPR006061,3,"Solute-binding family 1, conserved site (conserved_site)"
IPR006059,3,Bacterial-type extracellular solute-binding protein (family)
IPR006028,3,Gamma-aminobutyric acid A receptor/Glycine receptor alpha (family)
IPR036443,3,"Zinc finger, RanBP2-type superfamily (homologous_superfamily)"
IPR005652,3,"Photosynthetic reaction centre, H subunit (family)"
IPR036454,3,"Amyloidogenic glycoprotein, heparin-binding domain superfamily (homologous_superfamily)"
IPR005135,3,Endonuclease/exonuclease/phosphatase (domain)
IPR006311,3,"Twin-arginine translocation pathway, signal sequence (conserved_site)"
IPR004825,3,Insulin (family)
IPR036719,3,Neurotransmitter-gated ion-channel transmembrane domain superfamily (homologous_superfamily)
IPR004575,3,Cdk-activating kinase assembly factor MAT1/Tfb3 (family)
IPR054843,3,"Slam-dependent hemophilin, C-terminal domain (domain)"
IPR036628,3,"Clp, N-terminal domain superfamily (homologous_superfamily)"
IPR004176,3,"Clp, repeat (R) domain (domain)"
IPR004170,3,WWE domain (domain)
IPR046903,3,"Mab-21-like, nucleotidyltransferase domain (domain)"
IPR006162,3,Phosphopantetheine attachment site (ptm)
IPR006328,3,L-2-Haloacid dehalogenase (family)
IPR008967,3,"p53-like transcription factor, DNA-binding domain superfamily (homologous_superfamily)"
IPR051286,3,Janus Kinase (JAK) (family)
