"","protein family","annotation","AlphaFold2","ESMFold","OmegaFold"
"15","IPR002589","Macro domain (domain)","not significant (adjusted p-value: 1, odds ratio: 1.186)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.063)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.058)"
"16","IPR003591","Leucine-rich repeat, typical subtype (repeat)","not significant (adjusted p-value: 0.056, odds ratio: 0.095)","poorly predicted family (adjusted p-value: 0.002, odds ratio: 0.096)","poorly predicted family (adjusted p-value: 0.006, odds ratio: 0.131)"
"17","IPR003593","AAA+ ATPase domain (domain)","not significant (adjusted p-value: 1, odds ratio: 1.486)","not significant (adjusted p-value: 0.795, odds ratio: 2.247)","not significant (adjusted p-value: 1, odds ratio: 1.415)"
"18","IPR003594","Histidine kinase/HSP90-like ATPase domain (domain)","not significant (adjusted p-value: 1, odds ratio: 0.887)","not significant (adjusted p-value: 1, odds ratio: 1.341)","not significant (adjusted p-value: 1, odds ratio: 1.82)"
"19","IPR003598","Immunoglobulin subtype 2 (domain)","not significant (adjusted p-value: 1, odds ratio: 1.486)","not significant (adjusted p-value: 0.422, odds ratio: Inf)","not significant (adjusted p-value: 0.598, odds ratio: 3.049)"
"20","IPR003599","Immunoglobulin domain subtype (domain)","not significant (adjusted p-value: 1, odds ratio: 0.886)","not significant (adjusted p-value: 0.19, odds ratio: Inf)","not significant (adjusted p-value: 0.346, odds ratio: 3.876)"
"21","IPR003961","Fibronectin type III (domain)","not significant (adjusted p-value: 1, odds ratio: 1.286)","not significant (adjusted p-value: 0.41, odds ratio: Inf)","not significant (adjusted p-value: 0.598, odds ratio: 2.638)"
"22","IPR007094","RNA-directed RNA polymerase, catalytic domain (domain)","not significant (adjusted p-value: 1, odds ratio: 1.788)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.127)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.14)"
"23","IPR007110","Immunoglobulin-like domain (domain)","not significant (adjusted p-value: 1, odds ratio: 1.188)","not significant (adjusted p-value: 0.085, odds ratio: Inf)","not significant (adjusted p-value: 0.2, odds ratio: 5.129)"
"24","IPR008266","Tyrosine-protein kinase, active site (active_site)","not significant (adjusted p-value: 1, odds ratio: 2.805)","not significant (adjusted p-value: 0.057, odds ratio: Inf)","not significant (adjusted p-value: 0.146, odds ratio: 5.76)"
"25","IPR008271","Serine/threonine-protein kinase, active site (active_site)","not significant (adjusted p-value: 1, odds ratio: 3.216)","not significant (adjusted p-value: 0.214, odds ratio: 4.866)","not significant (adjusted p-value: 0.069, odds ratio: 6.607)"
"26","IPR008740","Peptidase C30, coronavirus (domain)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"27","IPR009003","Peptidase S1, PA clan (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 2.396)","poorly predicted family (adjusted p-value: 0.002, odds ratio: 0.213)","poorly predicted family (adjusted p-value: 0.003, odds ratio: 0.247)"
"28","IPR011009","Protein kinase-like domain superfamily (homologous_superfamily)","not significant (adjusted p-value: 0.741, odds ratio: 3.604)","well-predicted family (adjusted p-value: 0.002, odds ratio: 11.183)","well-predicted family (adjusted p-value: 0.001, odds ratio: 7.457)"
"29","IPR011025","G protein alpha subunit, helical insertion (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.795, odds ratio: 2.399)","not significant (adjusted p-value: 0.179, odds ratio: Inf)"
"30","IPR011993","PH-like domain superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 0.886)","not significant (adjusted p-value: 0.482, odds ratio: 0.589)","not significant (adjusted p-value: 0.881, odds ratio: 0.803)"
"31","IPR012338","Beta-lactamase/transpeptidase-like (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 1.486)","not significant (adjusted p-value: 0.795, odds ratio: 2.247)","not significant (adjusted p-value: 0.598, odds ratio: 3.049)"
"32","IPR013016","Peptidase C16, coronavirus (domain)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"33","IPR013083","Zinc finger, RING/FYVE/PHD-type (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 0.987)","not significant (adjusted p-value: 1, odds ratio: 1.496)","not significant (adjusted p-value: 1, odds ratio: 1.281)"
"34","IPR013088","Zinc finger, NHR/GATA-type (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.482, odds ratio: Inf)","not significant (adjusted p-value: 0.346, odds ratio: Inf)"
"35","IPR013098","Immunoglobulin I-set (domain)","not significant (adjusted p-value: 1, odds ratio: 1.086)","not significant (adjusted p-value: 0.482, odds ratio: Inf)","not significant (adjusted p-value: 0.824, odds ratio: 2.228)"
"36","IPR013106","Immunoglobulin V-set domain (domain)","not significant (adjusted p-value: 1, odds ratio: 1.086)","not significant (adjusted p-value: 0.482, odds ratio: Inf)","not significant (adjusted p-value: 0.824, odds ratio: 2.228)"
"37","IPR013320","Concanavalin A-like lectin/glucanase domain superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.41, odds ratio: Inf)","not significant (adjusted p-value: 0.266, odds ratio: Inf)"
"38","IPR013783","Immunoglobulin-like fold (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 1.224)","well-predicted family (adjusted p-value: 0.016, odds ratio: Inf)","not significant (adjusted p-value: 0.105, odds ratio: 3.927)"
"39","IPR013785","Aldolase-type TIM barrel (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.482, odds ratio: Inf)","not significant (adjusted p-value: 0.346, odds ratio: Inf)"
"40","IPR014756","Immunoglobulin E-set (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 0.987)","not significant (adjusted p-value: 0.295, odds ratio: 0.392)","not significant (adjusted p-value: 0.528, odds ratio: 0.534)"
"41","IPR014822","Non-structural protein NSP9, coronavirus (domain)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"42","IPR014828","Non-structural protein NSP7, coronavirus (domain)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"43","IPR014829","Non-structural protein NSP8, coronavirus (domain)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"44","IPR015943","WD40/YVTN repeat-like-containing domain superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 1.386)","not significant (adjusted p-value: 0.795, odds ratio: 2.096)","not significant (adjusted p-value: 0.598, odds ratio: 2.843)"
"45","IPR017441","Protein kinase, ATP binding site (binding_site)","not significant (adjusted p-value: 0.132, odds ratio: Inf)","well-predicted family (adjusted p-value: 0.002, odds ratio: Inf)","well-predicted family (adjusted p-value: 0, odds ratio: Inf)"
"46","IPR017853","Glycoside hydrolase superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.283, odds ratio: Inf)","not significant (adjusted p-value: 0.475, odds ratio: 3.255)"
"47","IPR017907","Zinc finger, RING-type, conserved site (conserved_site)","not significant (adjusted p-value: 1, odds ratio: 0.987)","not significant (adjusted p-value: 1, odds ratio: 1.492)","not significant (adjusted p-value: 1, odds ratio: 0.906)"
"48","IPR018995","RNA synthesis protein NSP10, coronavirus (domain)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"49","IPR020635","Tyrosine-protein kinase, catalytic domain (domain)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.19, odds ratio: Inf)","not significant (adjusted p-value: 0.077, odds ratio: Inf)"
"50","IPR027351","(+) RNA virus helicase core domain (domain)","not significant (adjusted p-value: 1, odds ratio: 1.086)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.071)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.065)"
"51","IPR027417","P-loop containing nucleoside triphosphate hydrolase (homologous_superfamily)","not significant (adjusted p-value: 0.741, odds ratio: 3.823)","not significant (adjusted p-value: 0.595, odds ratio: 0.781)","not significant (adjusted p-value: 1, odds ratio: 0.975)"
"52","IPR029058","Alpha/Beta hydrolase fold (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.085, odds ratio: Inf)","well-predicted family (adjusted p-value: 0.021, odds ratio: Inf)"
"53","IPR029063","S-adenosyl-L-methionine-dependent methyltransferase superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 1.492)","poorly predicted family (adjusted p-value: 0.012, odds ratio: 0.314)","poorly predicted family (adjusted p-value: 0.001, odds ratio: 0.247)"
"54","IPR029071","Ubiquitin-like domain superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 0.737)","not significant (adjusted p-value: 1, odds ratio: 1.117)","not significant (adjusted p-value: 1, odds ratio: 0.939)"
"55","IPR032505","Non-structural protein NSP4, C-terminal, coronavirus (domain)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"56","IPR032675","Leucine-rich repeat domain superfamily (homologous_superfamily)","not significant (adjusted p-value: 0.056, odds ratio: 0.133)","poorly predicted family (adjusted p-value: 0.005, odds ratio: 0.144)","poorly predicted family (adjusted p-value: 0.019, odds ratio: 0.197)"
"57","IPR035500","Nuclear hormone receptor-like domain superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.482, odds ratio: Inf)","not significant (adjusted p-value: 0.346, odds ratio: Inf)"
"58","IPR036028","SH3-like domain superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.482, odds ratio: Inf)","not significant (adjusted p-value: 0.506, odds ratio: Inf)"
"59","IPR036116","Fibronectin type III superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 1.286)","not significant (adjusted p-value: 0.41, odds ratio: Inf)","not significant (adjusted p-value: 0.598, odds ratio: 2.638)"
"60","IPR036179","Immunoglobulin-like domain superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 1.087)","not significant (adjusted p-value: 0.127, odds ratio: Inf)","not significant (adjusted p-value: 0.289, odds ratio: 4.71)"
"61","IPR036249","Thioredoxin-like superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.482, odds ratio: Inf)","not significant (adjusted p-value: 1, odds ratio: 1.82)"
"62","IPR036291","NAD(P)-binding domain superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.085, odds ratio: Inf)","well-predicted family (adjusted p-value: 0.035, odds ratio: Inf)"
"63","IPR036322","WD40-repeat-containing domain superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 0.887)","not significant (adjusted p-value: 1, odds ratio: 1.341)","not significant (adjusted p-value: 1, odds ratio: 1.82)"
"64","IPR036333","RNA synthesis protein NSP10 superfamily, coronavirus (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"65","IPR036388","Winged helix-like DNA-binding domain superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 1.386)","not significant (adjusted p-value: 0.795, odds ratio: 2.096)","not significant (adjusted p-value: 1, odds ratio: 1.313)"
"66","IPR036390","Winged helix DNA-binding domain superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 1.186)","not significant (adjusted p-value: 1, odds ratio: 1.793)","not significant (adjusted p-value: 1, odds ratio: 1.109)"
"67","IPR036465","von Willebrand factor A-like domain superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 0.391)","not significant (adjusted p-value: 0.756, odds ratio: 0.592)","not significant (adjusted p-value: 0.144, odds ratio: 0.298)"
"68","IPR036499","Non-structural protein NSP9 superfamily, coronavirus (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"69","IPR036860","SH2 domain superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.482, odds ratio: Inf)","not significant (adjusted p-value: 0.346, odds ratio: Inf)"
"70","IPR036890","Histidine kinase/HSP90-like ATPase superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 0.887)","not significant (adjusted p-value: 1, odds ratio: 1.341)","not significant (adjusted p-value: 1, odds ratio: 1.82)"
"71","IPR037204","Non-structural protein NSP7 superfamily, coronavirus (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"72","IPR037230","Non-structural protein NSP8 superfamily, coronavirus (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"73","IPR038123","Non-structural protein NSP4, C-terminal superfamily, coronavirus (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"74","IPR038765","Papain-like cysteine peptidase superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 0.44)","not significant (adjusted p-value: 1, odds ratio: 1.492)","not significant (adjusted p-value: 0.346, odds ratio: Inf)"
"75","IPR043178","Papain-like protease, thumb domain superfamily, coronavirus (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"76","IPR043472","Macro domain-like (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 1.186)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.063)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.058)"
"77","IPR043477","Peptidase C30, domain 3, coronavirus (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"78","IPR043502","DNA/RNA polymerase superfamily (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 2.396)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.179)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.177)"
"79","IPR043503","Papain-like viral protease, palm and finger domains, coronavirus (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"80","IPR043504","Peptidase S1, PA clan, chymotrypsin-like fold (homologous_superfamily)","not significant (adjusted p-value: 1, odds ratio: 1.99)","poorly predicted family (adjusted p-value: 0.008, odds ratio: 0.233)","poorly predicted family (adjusted p-value: 0.011, odds ratio: 0.261)"
"81","IPR043610","Non-structural protein 6, coronavirus (domain)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"82","IPR043611","Coronavirus replicase NSP3, C-terminal (domain)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"83","IPR043612","Non-structural protein NSP4, N-terminal, coronavirus (domain)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"84","IPR044371","Non-structural protein 3, X-domain-like (domain)","not significant (adjusted p-value: 1, odds ratio: 1.186)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.063)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.058)"
"85","IPR047566","Coronavirus replicase NSP3, Y domain (domain)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"86","IPR049894","Coronavirus NSP3, 3Ecto domain (domain)","not significant (adjusted p-value: 1, odds ratio: 0.887)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.036)","poorly predicted family (adjusted p-value: 0, odds ratio: 0.022)"
"87","IPR050122","Receptor Tyrosine Kinase (family)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.482, odds ratio: Inf)","not significant (adjusted p-value: 0.506, odds ratio: Inf)"
"88","None","None","not significant (adjusted p-value: 0.056, odds ratio: 0.498)","not significant (adjusted p-value: 0.482, odds ratio: 0.829)","not significant (adjusted p-value: 0.443, odds ratio: 0.827)"
